  18.400000 MS 22
  11.700000 MS 22
  16.200000 MS 23
  15.800000 MS 26
  15.100000 MS 26
  12.900000 MS 27
  16.700000 MS 29
  19.500000 MS 29
  15.400000 MS 29
  11.300000 MS 30
  20.900000 MS 31
  15.800000 MS 31
  17.800000 MS 31
  16.600000 MS 39
  18.500000 MS 40
  24.500000 MS 50
  25.200000 MS 52
  23.100000 MS 54
  20.900000 MS 54
  23.800000 MS 56
  19.300000 MS 59
  20.400000 MS 59
  21.800000 MS 60
  17.400000 MS 60
  22.400000 MS 63
  25.900000 MS 64
  22.600000 MS 71
  25.300000 MS 73
  25.400000 MS 74
  28.900000 MS 75
  28.300000 MS 86
  25.400000 MS 89
  33.400000 MS 89
  28.600000 MS 89
  28.500000 MS 90
  35.600000 MS 91
  24.500000 MS 93
  33.300000 MS 95
  31.400000 MS 98
  35.500000 MS 99
  22.400000 NP 22
  23.500000 NP 22
  12.100000 NP 23
   9.900000 NP 26
  16.600000 NP 26
  18.000000 NP 27
  17.700000 NP 29
   9.100000 NP 29
  15.000000 NP 29
  12.800000 NP 30
  19.900000 NP 31
  10.500000 NP 31
  26.400000 NP 31
  21.900000 NP 39
  25.900000 NP 40
  11.200000 NP 50
  15.400000 NP 52
  27.400000 NP 54
  38.300000 NP 54
  27.400000 NP 56
  35.200000 NP 59
  24.600000 NP 59
  20.600000 NP 60
  31.900000 NP 60
  25.900000 NP 63
  32.100000 NP 64
  37.400000 NP 71
  19.100000 NP 73
  41.100000 NP 74
  32.400000 NP 75
  43.800000 NP 86
  43.400000 NP 89
  49.900000 NP 89
  45.800000 NP 89
  32.700000 NP 90
  45.600000 NP 91
  41.200000 NP 93
  35.600000 NP 95
  43.100000 NP 98
  52.600000 NP 99
